high_conf_pos_pct,stop_loss_pct,take_profit_1_pct,time_stop_days,n_days,n_trades,total_return_pct,annual_return_pct,annual_vol_pct,sharpe,max_drawdown_pct,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,pl_ratio,total_pnl,composite
0.2,-0.025,0.05,2,9,38,-18.44,-99.67,52.67,-11.8,-20.24,-4.92,18.42,4.59,-6.22,0.74,-196586.63,-5.53
0.2,-0.025,0.05,3,9,32,-20.17,-99.82,51.54,-13.34,-22.01,-4.54,12.5,5.97,-6.83,0.87,-213636.11,-6.235
0.2,-0.025,0.05,4,9,32,-20.17,-99.82,51.54,-13.34,-22.01,-4.54,12.5,5.97,-6.83,0.87,-213636.11,-6.235
0.2,-0.025,0.07,2,9,38,-18.23,-99.64,53.12,-11.54,-20.16,-4.94,18.42,5.45,-6.22,0.88,-194472.83,-5.329999999999999
0.2,-0.025,0.07,3,9,32,-20.01,-99.81,52.34,-13.02,-21.98,-4.54,12.5,7.47,-6.83,1.09,-212126.5,-5.965
0.2,-0.025,0.07,4,9,32,-20.01,-99.81,52.34,-13.02,-21.98,-4.54,12.5,7.47,-6.83,1.09,-212126.5,-5.965
0.2,-0.025,0.1,2,9,38,-17.88,-99.6,52.16,-11.52,-19.7,-5.06,18.42,5.39,-6.22,0.87,-191009.18,-5.325
0.2,-0.025,0.1,3,9,29,-20.61,-99.84,53.01,-13.28,-22.55,-4.43,3.45,9.35,-6.83,1.37,-218154.3,-5.955
0.2,-0.025,0.1,4,9,29,-20.61,-99.84,53.01,-13.28,-22.55,-4.43,3.45,9.35,-6.83,1.37,-218154.3,-5.955
0.2,-0.035,0.05,2,9,42,-17.27,-99.51,48.8,-11.88,-19.1,-5.21,28.57,4.69,-8.62,0.54,-185442.04,-5.67
0.2,-0.035,0.05,3,9,35,-19.66,-99.78,58.6,-11.34,-21.52,-4.64,25.71,5.29,-9.76,0.54,-209102.02,-5.4
0.2,-0.035,0.05,4,9,35,-19.66,-99.78,58.6,-11.34,-21.52,-4.64,25.71,5.29,-9.76,0.54,-209102.02,-5.4
0.2,-0.035,0.07,2,9,42,-17.24,-99.5,48.66,-11.89,-19.19,-5.18,26.19,5.76,-8.38,0.69,-185104.32,-5.6000000000000005
0.2,-0.035,0.07,3,9,34,-19.33,-99.76,58.02,-11.25,-21.31,-4.68,23.53,6.84,-9.76,0.7,-205951.27,-5.275
0.2,-0.035,0.07,4,9,34,-19.33,-99.76,58.02,-11.25,-21.31,-4.68,23.53,6.84,-9.76,0.7,-205951.27,-5.275
0.2,-0.035,0.1,2,9,43,-16.89,-99.44,49.07,-11.52,-18.73,-5.31,25.58,6.55,-8.22,0.8,-181534.15,-5.359999999999999
0.2,-0.035,0.1,3,9,32,-19.27,-99.75,60.51,-10.72,-21.23,-4.7,15.62,8.64,-9.51,0.91,-205441.55,-4.905
0.2,-0.035,0.1,4,9,32,-19.27,-99.75,60.51,-10.72,-21.23,-4.7,15.62,8.64,-9.51,0.91,-205441.55,-4.905
0.2,-0.05,0.05,2,9,39,-4.99,-76.18,37.52,-4.12,-8.39,-9.08,38.46,4.5,-9.38,0.48,-64885.76,-1.82
0.2,-0.05,0.05,3,9,30,-6.88,-86.42,47.8,-4.47,-10.54,-8.2,40.0,5.0,-11.65,0.43,-83779.0,-2.02
0.2,-0.05,0.05,4,9,30,-6.88,-86.42,47.8,-4.47,-10.54,-8.2,40.0,5.0,-11.65,0.43,-83779.0,-2.02
0.2,-0.05,0.07,2,9,39,-4.92,-75.65,37.98,-4.01,-8.46,-8.94,35.9,5.76,-9.05,0.64,-64094.72,-1.6849999999999998
0.2,-0.05,0.07,3,9,29,-6.51,-84.83,47.96,-4.19,-10.18,-8.34,37.93,6.64,-11.65,0.57,-80206.42,-1.8100000000000003
0.2,-0.05,0.07,4,9,29,-6.51,-84.83,47.96,-4.19,-10.18,-8.34,37.93,6.64,-11.65,0.57,-80206.42,-1.8100000000000003
0.2,-0.05,0.1,2,9,44,-3.87,-66.92,36.41,-3.25,-7.34,-9.11,38.64,6.28,-8.65,0.73,-53783.32,-1.26
0.2,-0.05,0.1,3,9,32,-6.42,-84.42,48.71,-4.06,-10.03,-8.42,37.5,7.36,-10.85,0.68,-79321.79,-1.6899999999999997
0.2,-0.05,0.1,4,9,32,-6.42,-84.42,48.71,-4.06,-10.03,-8.42,37.5,7.36,-10.85,0.68,-79321.79,-1.6899999999999997
